Team,Stadium,Web Site,League,Last World Series Win
Baltimore Orioles,Oriole Park,orioles.com,AL,1983
Boston Red Sox,Fenway Park,redsox.com,AL,2007
Chicago White Sox,U.S. Cellular Field,whitesox.com,AL,2005
Cleveland Indians,Progressive Field,indians.com,AL,1948
Detroit Tigers,Comerica Park,tigers.com,AL,1984
Houston Astros,Minute Maid Park,astros.com,AL,-
Kansas City Royals,Kauffman Stadium,royals.com,AL,1985
Los Angeles Angels,Angel Stadium,angels.com,AL,2002
Minnesota Twins,Target Field,twinsbaseball.com,AL,1991
New York Yankees,Yankee Stadium,yankees.com,AL,2009
Oakland Athletics,O.co Coliseum,oaklandathletics.com,AL,1989
Seattle Mariners,Safeco Field,Mariners.com,AL,-
Tampa Bay Rays,Tropicana Field,raysbaseball.com,AL,-
Texas Rangers,Rangers Ballpark in Arlington,texasrangers.com,AL,-
Toronto Blue Jays,Rogers Centre,bluejays.com,AL,1993